objID,petroMag_u,petroMag_g,petroMag_r,spiral,elliptical,z
1237648704023757044,20.2415,18.94107,17.80345,1,0,0.129357
1237648720142139633,20.34799,18.67139,17.82652,1,0,0.13249
1237648720142336185,17.58109,16.35838,15.69998,1,0,0.070731
1237648720142336237,18.46643,17.00685,16.24518,1,0,0.068409
1237648720142598416,19.00148,17.3709,16.55475,1,0,0.079555
1237648720142663815,18.63457,17.71005,17.27998,1,0,0.057206
1237648720142729338,20.11894,18.63023,17.72152,1,0,0.095837
1237648720142729437,19.31077,17.55637,16.57409,1,0,0.089734
1237648720142925946,18.56466,17.06324,16.37107,1,0,0.050292
1237648720142991613,19.64302,18.38531,17.75388,1,0,0.100016
1237648720143057157,19.59656,18.41771,17.81066,1,0,0.121415
1237648720143122523,19.02665,17.51267,16.70697,1,0,0.089111
1237648720143122589,19.73348,18.53258,17.7118,1,0,0.133428
1237648720143122615,19.7222,17.88299,16.97177,0,1,0.083112
1237648720143122623,20.19352,18.18744,17.14643,1,0,0.114002
1237648720143188224,20.08824,18.55042,17.75081,1,0,0.105402
1237648720143253641,19.81003,18.16995,17.29423,1,0,0.087446
1237648720143253733,18.87079,17.28494,16.38403,1,0,0.095207
1237648720143450191,19.15382,17.99875,17.53553,1,0,0.074422
1237648720143450249,19.99174,17.98553,16.9917,1,0,0.104487
1237648720143450317,21.84923,18.53073,17.66672,1,0,0.079324
1237648720143515764,20.42179,18.43172,17.4394,1,0,0.10554
1237648720143712324,17.729,15.78901,14.84838,0,1,0.057521
1237648720143712423,19.30108,17.51557,16.92464,1,0,0.072657
1237648720143843470,18.07344,16.29691,15.39118,0,1,0.061013
1237648720143909041,20.18852,18.60701,17.69628,1,0,0.142104
1237648720144040094,18.46338,17.18277,16.62945,1,0,0.04952
1237648720144105659,18.66456,17.69491,17.28546,1,0,0.076008
1237648720144367860,19.24529,17.5104,16.68326,1,0,0.054733
1237648720144564402,19.54053,18.19474,17.52133,1,0,0.106514
1237648720144629984,19.26774,17.83021,16.99777,1,0,0.094693
1237648720144695532,21.23478,18.54774,17.61568,1,0,0.106554
1237648720144892145,18.95972,17.56285,16.80281,1,0,0.073798
1237648720145088826,20.13801,18.53788,17.66688,1,0,0.140701
1237648720145350674,19.23868,17.23564,16.41623,1,0,0.049895
1237648720145350917,18.71924,17.01206,16.20753,1,0,0.056482
1237648720145416348,17.18715,15.19088,14.31101,0,1,0.05116
1237648720145416617,19.36485,18.2156,17.60294,1,0,0.084059
1237648720145481899,18.57345,16.89944,16.10568,1,0,0.039897
1237648720145482111,18.82256,17.7396,17.293,1,0,0.046579
1237648720145613050,18.65995,17.39491,16.81775,1,0,0.072507
1237648720145678479,17.91849,16.52855,15.49589,0,1,0.090115
1237648720145678659,19.62466,17.77319,16.89009,1,0,0.076463
1237648720145744013,19.63166,18.21984,17.37331,1,0,0.092076
1237648720145940622,18.91946,17.6575,17.04905,1,0,0.102181
1237648720146006094,17.22796,16.00047,15.4986,1,0,0.047205
1237648720146006287,18.9302,17.78409,17.05212,1,0,0.119937
1237648720146006363,18.61555,17.60008,17.11017,1,0,0.057216
1237648720146071815,18.90091,17.08498,16.12752,0,1,0.074825
1237648720146137223,19.22036,17.75351,16.9905,1,0,0.118093
1237648720146137229,18.38314,16.99214,16.47413,1,0,0.041095
1237648720146202836,18.96597,17.60354,16.81948,1,0,0.129368
1237648720146202849,20.20979,18.71077,17.75159,1,0,0.116668
1237648720146202879,17.96887,16.41479,15.74444,1,0,0.040375
1237648720146268391,17.77934,16.58681,16.0984,1,0,0.03746
1237648720146333848,19.36426,17.98778,17.4349,1,0,0.078039
1237648720146464964,18.51624,17.51518,17.13252,1,0,0.054935
1237648720146530328,20.15836,18.75823,17.84097,1,0,0.177498
1237648720146530485,16.94309,15.4214,14.802,1,0,0.031194
1237648720146595857,16.83029,15.56112,15.04987,1,0,0.044444
1237648720146792732,19.1052,17.55982,16.73442,1,0,0.103038
1237648720146858153,19.39382,18.18784,17.46257,1,0,0.115062
1237648720146923865,18.67054,17.47485,16.90869,1,0,0.046891
1237648720147054871,18.91557,17.08547,16.2085,1,0,0.054492
1237648720147120409,19.25911,17.96758,17.31336,1,0,0.103437
1237648720147185980,18.78683,17.41269,16.76,1,0,0.08572
1237648720147251400,18.24198,16.40615,15.50415,0,1,0.059765
1237648720147317038,18.28843,16.62712,16.04995,1,0,0.037776
1237648720147382529,20.17531,18.46157,17.45769,1,0,0.108528
1237648720147448055,19.08108,17.78145,17.00647,1,0,0.102932
1237648720147448132,19.35472,18.06753,17.26019,1,0,0.06362
1237648720147448142,19.4577,18.11883,17.54478,1,0,0.081468
1237648720147513541,18.58377,17.4562,17.01824,1,0,0.048103
1237648720147513563,19.70697,18.46732,17.60943,1,0,0.17064
1237648720147644495,17.49617,16.44641,15.9739,1,0,0.058445
1237648720148234490,20.39189,18.67004,17.75029,1,0,0.094633
1237648720148299897,17.46956,15.80831,15.02708,0,1,0.030067
1237648720148496495,18.15878,17.18045,16.80225,1,0,0.02489
1237648720148562180,18.78793,17.95095,17.4265,1,0,0.04937
1237648720678944894,18.20591,16.64948,16.04546,1,0,0.055089
1237648720678944999,19.16971,18.2931,17.53357,1,0,0.167068
1237648720679272634,19.27576,17.79392,16.96149,1,0,0.084781
1237648720679796935,19.85236,18.52374,17.61468,1,0,0.12213
1237648720679796961,19.00941,17.65644,16.93884,1,0,0.055147
1237648720680321254,19.92022,17.90665,16.90723,1,0,0.101499
1237648720680452215,18.74942,17.5939,17.0116,1,0,0.088496
1237648720680517751,18.48702,17.08169,16.42021,1,0,0.081043
1237648720680583296,18.07798,17.07101,16.56621,1,0,0.039596
1237648720680583341,19.3715,18.22592,17.8044,1,0,0.0857
1237648720680648893,18.40621,17.22946,16.63267,1,0,0.08386
1237648720680976477,18.28849,16.9494,16.22166,1,0,0.081922
1237648720680976601,18.20683,17.03894,16.36727,1,0,0.086011
1237648720681042064,18.37357,17.16783,16.45966,1,0,0.08282
1237648720681107522,20.6881,18.28386,17.64698,1,0,0.103621
1237648720681107528,19.40816,17.30167,16.2801,0,1,0.087765
1237648720681173181,19.53449,18.29289,17.64594,1,0,0.116192
1237648720681304371,18.58008,17.50868,16.9662,1,0,0.064291
1237648720681500888,19.05089,17.92711,17.40274,1,0,0.080637
1237648720681500944,19.54599,18.09021,17.32714,1,0,0.087333
1237648720681828464,19.11394,17.80359,16.95012,1,0,0.092333
1237648720681828530,19.72998,17.72262,16.75533,1,0,0.092107
1237648720681828566,20.5306,19.021,17.81053,1,0,0.207884
1237648720681959427,17.09492,15.29839,14.42592,0,1,0.044184
1237648720682025049,20.49039,18.63619,17.68558,1,0,0.159325
1237648720682287308,19.80485,18.05978,17.07335,1,0,0.104044
1237648720682287313,17.70329,16.29278,15.63778,1,0,0.053384
1237648720682418324,20.58506,17.881,17.06491,1,0,0.064838
1237648720682483855,18.95437,17.86896,17.15006,1,0,0.133871
1237648720682614947,20.64955,18.79168,17.87918,1,0,0.131298
1237648720682614955,18.05292,16.31476,15.43239,1,0,0.048778
1237648720682811533,17.63405,16.42008,15.94174,1,0,0.042565
1237648720682811556,19.817,18.07052,17.09473,1,0,0.089844
1237648720682877039,18.64839,17.23641,16.47076,1,0,0.082758
1237648720682877113,20.45218,18.56735,17.59433,1,0,0.097084
1237648720683073575,18.40963,17.01326,16.26404,1,0,0.084103
1237648720683270154,20.36233,18.36906,17.547,1,0,0.101756
1237648720683270246,18.82299,17.04602,16.1734,1,0,0.074462
1237648720683270307,19.60915,17.70056,16.73559,1,0,0.091488
1237648720683270324,19.5043,18.20778,17.52865,1,0,0.116184
1237648673431879906,19.82557,18.123,17.29863,1,0,0.077802
1237648702964957305,19.31627,17.72072,16.79028,1,0,0.076206
1237648702966661167,18.68518,16.53113,15.6333,0,1,0.05814
1237648702966661296,19.43386,17.48725,16.53318,1,0,0.091511
1237648702966792419,19.1009,17.90591,17.33845,1,0,0.040278
1237648702966857844,19.61998,18.06524,17.39548,1,0,0.103854
1237648702966988820,16.35678,14.49284,13.77879,1,0,0.026728
1237648702967054406,17.81901,16.52254,15.90291,1,0,0.072585
